Year,Location,Soil Type,Max_Temperature,Min_Teperature,Rainfall,Humidity,Yield Kg/ha
2019,Chefe Donsa,Black Soil,27.0,13.5,811.2,18.0,320.0
2019,Chefe Donsa,Black Soil,23.5,12.5,811.2,21.0,290.0
2019,Chefe Donsa,Black Soil,27.5,14.0,811.2,31.0,290.0
2019,Chefe Donsa,Black Soil,26.5,13.5,811.2,40.0,300.0
2019,Chefe Donsa,Black Soil,27.0,14.0,811.2,45.0,250.0
2019,Chefe Donsa,Black Soil,26.5,14.5,811.2,45.0,310.0
2019,Chefe Donsa,Black Soil,27.0,15.5,811.2,45.0,410.0
2019,Chefe Donsa,Black Soil,24.5,15.5,811.2,39.0,470.0
2019,Chefe Donsa,Black Soil,21.5,15.0,811.2,37.0,550.0
2019,Chefe Donsa,Black Soil,26.5,11.5,811.2,38.0,590.0
2019,Chefe Donsa,Black Soil,26.0,13.0,811.2,48.0,410.0
2019,Chefe Donsa,Black Soil,26.0,12.5,811.2,41.0,270.0
2019,Chefe Donsa,Black Soil,26.5,14.5,811.2,37.0,490.0
2019,Chefe Donsa,Black Soil,22.0,12.5,811.2,49.0,310.0
2019,Chefe Donsa,Black Soil,27.0,15.0,811.2,36.0,310.0
2019,Chefe Donsa,Black Soil,24.0,13.0,811.2,40.0,260.0
2019,Chefe Donsa,Black Soil,22.0,12.0,811.2,46.0,390.0
2019,Chefe Donsa,Black Soil,26.0,12.0,811.2,46.0,220.0
2019,Chefe Donsa,Black Soil,27.0,11.5,811.2,53.0,520.0
2019,Chefe Donsa,Black Soil,22.0,1.5,811.2,46.0,390.0
2019,Chefe Donsa,Black Soil,26.5,11.0,811.2,46.0,320.0
2019,Chefe Donsa,Black Soil,27.0,12.0,811.2,41.0,230.0
2019,Chefe Donsa,Black Soil,26.0,12.0,811.2,40.0,210.0
2019,Chefe Donsa,Black Soil,25.5,10.0,811.2,37.0,160.0
2019,Chefe Donsa,Black Soil,24.5,14.5,811.2,47.0,280.0
2019,Chefe Donsa,Black Soil,25.0,12.5,811.2,52.0,200.0
2019,Chefe Donsa,Black Soil,27.0,10.0,811.2,48.0,400.0
2019,Chefe Donsa,Black Soil,26.5,10.0,811.2,57.0,450.0
2019,Chefe Donsa,Black Soil,24.5,8.5,811.2,51.0,390.0
2019,Chefe Donsa,Black Soil,23.5,7.0,811.2,53.0,440.0
2019,Chefe Donsa,Black Soil,25.0,8.0,811.2,34.0,620.0
2019,Chefe Donsa,Black Soil,25.0,10.0,811.2,54.0,410.0
2019,Chefe Donsa,Black Soil,27.0,12.0,811.2,61.0,360.0
2019,Chefe Donsa,Black Soil,26.5,10.0,811.2,66.0,310.0
2019,Chefe Donsa,Black Soil,27.0,14.0,811.2,75.0,430.0
2019,Chefe Donsa,Black Soil,24.5,14.0,811.2,66.0,740.0
2019,Chefe Donsa,Black Soil,21.5,14.0,811.2,57.0,440.0
2019,Chefe Donsa,Black Soil,26.5,10.0,811.2,58.0,610.0
2019,Chefe Donsa,Black Soil,26.0,13.0,811.2,43.0,310.0
2019,Chefe Donsa,Black Soil,26.0,13.0,811.2,44.0,390.0
2019,Chefe Donsa,Black Soil,26.5,12.0,811.2,42.0,270.0
2019,Chefe Donsa,Black Soil,22.0,12.0,811.2,72.0,590.0
2019,Chefe Donsa,Black Soil,27.0,13.0,811.2,54.0,330.0
2019,Chefe Donsa,Black Soil,24.0,13.0,811.2,56.0,390.0
2019,Chefe Donsa,Black Soil,22.0,10.5,811.2,67.0,1500.0
2019,Chefe Donsa,Black Soil,26.0,11.0,811.2,59.0,260.0
2019,Chefe Donsa,Black Soil,27.0,12.0,811.2,62.0,280.0
2019,Chefe Donsa,Black Soil,22.0,12.0,811.2,65.0,250.0
2019,Chefe Donsa,Black Soil,26.5,12.0,811.2,68.0,260.0
