Year,Location,Soil Type,Max_Temperature,Min_Teperature,Rainfall,Humidity,Yield Kg/ha
2019,Chefe Donsa,Black Soil,22,12,811.2,46,390
2019,Chefe Donsa,Black Soil,26,12,811.2,46,220
2019,Chefe Donsa,Black Soil,27,11.5,811.2,53,520
2019,Chefe Donsa,Black Soil,22,1.5,811.2,46,390
2019,Chefe Donsa,Black Soil,26.5,11,811.2,46,320
2019,Chefe Donsa,Black Soil,27,12,811.2,41,230
2019,Chefe Donsa,Black Soil,26,12,811.2,40,210
2019,Chefe Donsa,Black Soil,25.5,10,811.2,37,160
2019,Chefe Donsa,Black Soil,24.5,14.5,811.2,47,280
2019,Chefe Donsa,Black Soil,25,12.5,811.2,52,200
2019,Chefe Donsa,Black Soil,27,10,811.2,48,400
2019,Chefe Donsa,Black Soil,26.5,10,811.2,57,450
2019,Chefe Donsa,Black Soil,24.5,8.5,811.2,51,390
2019,Chefe Donsa,Black Soil,23.5,7,811.2,53,440
2019,Chefe Donsa,Black Soil,25,8,811.2,34,620
2019,Chefe Donsa,Black Soil,25,10,811.2,54,410
2019,Chefe Donsa,Black Soil,27,12,811.2,61,360
2019,Chefe Donsa,Black Soil,26.5,10,811.2,66,310
2019,Chefe Donsa,Black Soil,27,14,811.2,75,430
2019,Chefe Donsa,Black Soil,24.5,14,811.2,66,740
2019,Chefe Donsa,Black Soil,21.5,14,811.2,57,440
2019,Chefe Donsa,Black Soil,26.5,10,811.2,58,610
2019,Chefe Donsa,Black Soil,26,13,811.2,43,310
2019,Chefe Donsa,Black Soil,26,13,811.2,44,390
2019,Chefe Donsa,Black Soil,26.5,12,811.2,42,270
2019,Chefe Donsa,Black Soil,22,12,811.2,72,590
2019,Chefe Donsa,Black Soil,27,13,811.2,54,330
2019,Chefe Donsa,Black Soil,24,13,811.2,56,390
2019,Chefe Donsa,Black Soil,22,10.5,811.2,67,
2019,Chefe Donsa,Black Soil,26,11,811.2,59,260
2019,Chefe Donsa,Black Soil,27,12,811.2,62,280
2019,Chefe Donsa,Black Soil,22,12,811.2,65,250
2019,Chefe Donsa,Black Soil,26.5,12,811.2,68,260
2019,Chefe Donsa,Black Soil,27,13.5,811.2,57,550
2019,Chefe Donsa,Black Soil,26,10,811.2,52,390
2019,Chefe Donsa,Black Soil,25.5,10,811.2,65,600
2019,Chefe Donsa,Black Soil,24.5,11,811.2,51,320
2019,Chefe Donsa,Black Soil,25,11,811.2,55,630
2019,Chefe Donsa,Black Soil,27,13.5,811.2,58,480
2019,Chefe Donsa,Black Soil,26.5,12.5,811.2,45,350
2019,Chefe Donsa,Black Soil,24.5,16,811.2,36,330
2019,Chefe Donsa,Black Soil,23.5,11.5,811.2,42,350
2019,Chefe Donsa,Black Soil,25,14,811.2,44,350
2019,Chefe Donsa,Black Soil,25,12,811.2,58,450
2019,Chefe Donsa,Black Soil,25.5,13,811.2,50,550
2019,Chefe Donsa,Black Soil,26,11.5,811.2,40,200
2019,Chefe Donsa,Black Soil,24,12.5,811.2,45,540
2019,Chefe Donsa,Black Soil,31,12.5,811.2,40,360
2019,Chefe Donsa,Black Soil,30.5,12,811.2,39,695
2019,Chefe Donsa,Black Soil,29.5,13,811.2,35,590
2019,Chefe Donsa,Black Soil,30,13,811.2,44,490
2019,Chefe Donsa,Black Soil,31,13,811.2,56,720
2019,Chefe Donsa,Black Soil,30.5,12,811.2,42,670
2019,Chefe Donsa,Black Soil,29.5,10.5,811.2,49,950
2019,Chefe Donsa,Black Soil,30,15,811.2,57,660
2019,Chefe Donsa,Black Soil,31,11.5,811.2,60,750
2019,Chefe Donsa,Black Soil,31,14,811.2,48,440
2019,Chefe Donsa,Black Soil,30,13.5,811.2,53,480
2019,Chefe Donsa,Black Soil,31,12.5,811.2,54,720
2019,Chefe Donsa,Black Soil,31,13.5,811.2,55,300
2019,Chefe Donsa,Black Soil,31,13,811.2,56,500
2019,Chefe Donsa,Black Soil,29,13,811.2,56,970
2019,Chefe Donsa,Black Soil,29,13.5,811.2,61,370
2019,Chefe Donsa,Black Soil,28.5,14,811.2,54,520
2019,DZ-BS,Black Soil,30.5,13.5,811.2,57,3670
2019,DZ-BS,Black Soil,32.5,13.5,811.2,53,3620
2019,DZ-BS,Black Soil,32,14,811.2,65,3320
2019,DZ-BS,Black Soil,31,13.5,811.2,51,3010
2019,DZ-BS,Black Soil,29.5,15.5,811.2,57,3600
2019,DZ-BS,Black Soil,27.5,14,811.2,58,2670
2019,DZ-BS,Black Soil,29,14.5,811.2,71,2710
2019,DZ-BS,Black Soil,27,14.5,811.2,58,3710
2019,DZ-BS,Black Soil,29.5,14,811.2,71,3100
2019,DZ-BS,Black Soil,28.5,13,811.2,67,3680
2019,DZ-BS,Black Soil,28.5,13.5,811.2,58,4260
2019,DZ-BS,Black Soil,27,12.5,811.2,50,3170
2019,DZ-BS,Black Soil,31,14.5,811.2,72,3020
2019,DZ-BS,Black Soil,30.5,14,811.2,74,2930
2019,DZ-BS,Black Soil,29.5,14,811.2,57,3150
2019,DZ-BS,Black Soil,30,13,811.2,56,2690
2019,DZ-BS,Black Soil,31,14,811.2,66,3740
